epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2046.51,1.11574,0.69655,1.07259,0.7501,0.65897,0.62671,0.29641,1.8125,0.94803,1.56202,0.000821362,0.000821362,0.000821362
81,2071.42,1.06622,0.68306,1.03343,0.74519,0.59057,0.60041,0.29229,1.83511,1.00826,1.581,0.000817696,0.000817696,0.000817696
82,2096.36,1.07501,0.68857,1.05271,0.69287,0.59199,0.60034,0.28541,1.86632,1.00838,1.61629,0.00081403,0.00081403,0.00081403
83,2121.27,1.04466,0.67228,1.06138,0.66068,0.55933,0.58261,0.28297,1.83152,0.98828,1.6176,0.000810363,0.000810363,0.000810363
84,2146.08,1.06149,0.67342,1.03449,0.64219,0.54363,0.55754,0.26387,1.81055,1.00782,1.58214,0.000806697,0.000806697,0.000806697
85,2171.07,1.02286,0.64954,1.03206,0.64271,0.57492,0.56484,0.2473,1.8452,1.05012,1.61854,0.000803031,0.000803031,0.000803031
86,2196.31,1.06775,0.67971,1.0628,0.61177,0.59682,0.53808,0.23818,1.83045,1.06276,1.61333,0.000799365,0.000799365,0.000799365
87,2221.65,1.0536,0.67343,1.01962,0.6225,0.52395,0.52835,0.25674,1.79159,1.09431,1.55852,0.000795698,0.000795698,0.000795698
88,2246.84,1.04667,0.67249,1.01025,0.62701,0.55105,0.5452,0.25157,1.778,1.0818,1.55001,0.000792032,0.000792032,0.000792032
89,2271.96,1.05422,0.66927,1.03236,0.69542,0.53022,0.57956,0.27448,1.76183,1.02208,1.50849,0.000788366,0.000788366,0.000788366
90,2296.97,1.04636,0.68632,1.06707,0.72831,0.51268,0.57601,0.2851,1.77983,1.02765,1.53002,0.000784699,0.000784699,0.000784699
91,2321.8,1.07527,0.68582,1.04755,0.71125,0.50244,0.58937,0.28024,1.80132,0.99644,1.57283,0.000781033,0.000781033,0.000781033
92,2346.73,1.04287,0.63743,1.04685,0.70693,0.51116,0.58074,0.26932,1.81259,1.02087,1.57786,0.000777367,0.000777367,0.000777367
93,2371.38,1.0115,0.66628,0.99648,0.60423,0.65298,0.59333,0.28626,1.80191,1.0337,1.55273,0.0007737,0.0007737,0.0007737
94,2396.21,1.08029,0.6798,1.03362,0.71707,0.59201,0.61514,0.28869,1.78493,1.0255,1.56402,0.000770034,0.000770034,0.000770034
95,2421.06,0.97959,0.68496,1.0454,0.57165,0.6413,0.56763,0.28038,1.75003,1.02216,1.56058,0.000766368,0.000766368,0.000766368
96,2445.82,0.97313,0.65085,1.01911,0.62092,0.6301,0.56763,0.27761,1.77329,1.00927,1.59529,0.000762702,0.000762702,0.000762702
97,2470.98,1.07276,0.66216,1.07153,0.65708,0.61889,0.59333,0.29983,1.82947,0.99429,1.60589,0.000759035,0.000759035,0.000759035
98,2495.79,1.06594,0.68759,1.03224,0.73896,0.58893,0.62238,0.31017,1.79086,0.99605,1.59695,0.000755369,0.000755369,0.000755369
99,2520.91,1.01991,0.63885,1.03192,0.58769,0.6661,0.58916,0.28416,1.81589,1.00828,1.59171,0.000751703,0.000751703,0.000751703
100,2546.12,0.96691,0.61911,1.0056,0.58083,0.64349,0.56603,0.27964,1.80753,1.00945,1.59792,0.000748036,0.000748036,0.000748036
101,2571.46,0.97079,0.65071,1.02416,0.60174,0.62867,0.58431,0.29769,1.74265,0.98606,1.54363,0.00074437,0.00074437,0.00074437
102,2596.98,0.97564,0.65227,1.02665,0.71782,0.60155,0.60423,0.29174,1.75725,0.99381,1.54638,0.000740704,0.000740704,0.000740704
103,2622,1.01281,0.66642,1.02458,0.68069,0.59925,0.59486,0.27077,1.86636,1.02264,1.58222,0.000737037,0.000737037,0.000737037
